data;ID_motorista;mapa;caixas
2025-03-14;113;279142;3
2025-03-03;22;278600;3
2025-03-19;216;279375;3
2025-03-29;224;279897;4
2025-03-10;544;278920;3
2025-03-14;221;279131;2
2025-03-04;50;278620;2
2025-03-25;116;279671;2
2025-03-27;50;279778;3
2025-03-03;502;278605;3
2025-03-27;153;279773;2
2025-03-05;113;278705;2
2025-03-27;153;279773;2
2025-03-24;113;279641;3
2025-03-14;199;279107;3
2025-03-24;672;279640;2
2025-03-27;151;279784;9
2025-03-20;153;279437;2
2025-03-06;161;278750;2
2025-03-14;675;279147;3
2025-03-22;116;279565;2
2025-03-15;502;279186;2
2025-03-14;157;279136;2
2025-03-15;714;279191;2
2025-03-21;733;279527;2
2025-03-04;41;278627;3
2025-03-10;402;278905;3
2025-03-05;153;278673;2
2025-03-10;960;278894;2
2025-03-12;47;279008;2
2025-03-20;51;279415;4
2025-03-04;216;278645;1
2025-03-15;41;279170;2
2025-03-11;76;278979;2
2025-03-10;146;278921;3
2025-03-05;216;278710;2
2025-03-29;41;279899;2
2025-03-20;153;279437;2
2025-03-06;47;278730;49
2025-03-05;672;278711;2
2025-03-12;116;279004;2
2025-03-31;196;279931;22
2025-03-12;116;279004;1
2025-03-17;159;279246;1
2025-03-12;672;279040;2
2025-03-21;733;279527;1
2025-03-17;76;279213;8
2025-03-10;80;278925;2
2025-03-24;41;279624;2
2025-03-27;604;279803;1
2025-03-18;47;279267;2
2025-03-05;672;278711;2
2025-03-19;672;279371;2
2025-03-18;732;279266;13
2025-03-01;341;278568;2
2025-03-27;732;279771;2
2025-03-15;714;279191;1
2025-03-25;47;279667;1
2025-03-18;689;279269;1
2025-03-19;50;279338;1
2025-03-21;672;279538;1
2025-03-13;153;279057;1
2025-03-01;113;278567;2
2025-03-22;672;279588;4
2025-03-15;41;279170;1
2025-03-14;83;279143;2
2025-03-17;733;279219;1
2025-03-10;960;278894;1
2025-03-10;76;278896;1
2025-03-14;604;279138;1
2025-03-11;718;278938;5
2025-03-12;80;279044;1
2025-03-10;151;278915;1
2025-03-27;7;279788;1
2025-03-10;665;278910;1
2025-03-10;47;278908;1
2025-03-01;675;278570;1
2025-03-31;733;279934;1
2025-03-22;559;279589;1
2025-03-17;98;279237;1
2025-03-17;22;279216;1
2025-03-14;672;279144;1
2025-03-03;41;278607;2
2025-03-19;897;279341;1
2025-03-24;665;279627;1
2025-03-17;16;279225;1
2025-03-20;159;279452;1
2025-03-01;544;278553;1
2025-03-01;41;278558;1
2025-03-14;672;279144;2
2025-03-20;41;279423;1
2025-03-20;216;279448;1
2025-03-28;113;279872;1
2025-03-29;81;279898;1
2025-03-04;146;278637;1
2025-03-06;151;278741;7
2025-03-10;544;278920;1
2025-03-11;151;278942;1
2025-03-04;151;278629;1
2025-03-05;80;278712;1
2025-03-05;151;278683;14
2025-03-06;41;278735;1
2025-03-08;166;278863;1
2025-03-10;80;278925;1
2025-03-10;47;278908;27
2025-03-11;157;278967;25
2025-03-11;80;278970;1
2025-03-13;502;279095;13
2025-03-14;559;279145;9
2025-03-15;559;279182;6
2025-03-17;76;279213;4
2025-03-18;675;279309;17
2025-03-17;153;279214;12
2025-03-27;80;279809;1
2025-03-27;51;279776;4
2025-03-01;220;278555;3
2025-03-01;220;278555;20
2025-03-01;220;278555;8
2025-03-01;220;278555;41
2025-03-01;220;278555;2
2025-03-01;220;278555;3
2025-03-01;220;278555;3
2025-03-01;220;278555;19
